,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Number
-22.96,-21.86,-21.4,-22.32,29.52,-9.63,38.25,-104.16,-53.6,17.51,118.44,10.16,149.11,191.45,177.34,0,0,2
-24.14,-21.3,-19.7,-20.75,29.51,-11.09,37.74,-109.71,-87.93,35.48,145.01,9.86,120.73,208,178.91,0,0,2
-22.47,-20.95,-19.56,-20.49,28.49,-9.74,36.42,-110.18,-101.42,39.56,154.89,9.79,134.79,204.67,181.38,0,0,2
-22.11,-21.3,-21.81,-22.69,28.65,-9.06,37.66,-98.5,-107.73,39.95,151.34,10.34,137.76,208.11,184.66,0,0,2
-17.62,-17.47,-24.34,-24.99,23.29,-6.41,34.76,-67.33,-118.33,38.88,141.59,11.94,138.98,211.24,187.15,0,0,2
-9.12,-18.76,-28.26,-28.18,20.85,2.15,35.12,-24.74,-109.89,11.58,113.23,13.61,131.19,226.06,194.44,0,0,2
-7.3,-17.49,-32.35,-32.16,18.93,3.61,37.49,-16.36,-78.97,-17.62,82.54,11.38,125.65,219.46,188.19,0,0,2
-14.95,-16.81,-30.87,-31.32,21.56,-3.71,38.2,-33.54,-59.45,-21.74,71.63,11.05,118.86,208.16,178.39,0,0,2
-18.57,-16.48,-29.38,-30.12,22.79,-7.25,38.46,-58.48,-55.79,-14.17,82.06,10.93,120.96,199.64,173.42,0,0,2
-21.76,-18.36,-25.89,-26.83,25.84,-9.64,38.48,-76.07,-63.06,-5.8,98.98,9.95,128.55,196.19,173.64,0,0,2
-21.79,-20.71,-22.3,-23.17,27.99,-8.99,37.43,-80.65,-80.1,11.5,114.25,11.34,123.35,200.06,174.49,0,0,2
-22.34,-19.25,-22.3,-23.27,26.89,-10.1,36.97,-84.07,-78.95,8.99,115.69,10.68,125.05,198.46,173.99,0,0,2
-21.19,-19.9,-21.98,-22.84,27,-8.82,36.45,-81.41,-84.38,7.45,117.49,10.35,133.35,202.77,179.63,0,0,2
-21.67,-21.22,-20.71,-21.56,28.39,-8.81,36.72,-76.77,-84.76,12.58,115.05,10.14,138.6,211.04,186.89,0,0,2
-21.06,-21.57,-21.48,-22.27,28.46,-8.04,37.02,-76.54,-85.13,11.13,115.01,10.64,136.98,209.68,185.44,0,0,2
-20.85,-23.46,-16.44,-17.16,30.08,-7.5,35.43,-78.21,-90.89,3.66,119.97,11.53,132.32,200.92,178.06,0,0,2
-18.66,-22.36,-17.15,-17.73,28.15,-5.92,33.79,-74.11,-92.39,9.9,118.85,11.44,129.68,204.58,179.61,0,0,2
-16.34,-18.65,-22.63,-23.15,23.81,-4.91,33.57,-80.25,-82.78,11.68,115.88,12.32,124.27,206.68,179.21,0,0,2
-17.99,-22.66,-17.72,-18.24,28.14,-5.14,33.93,-79.1,-89.24,12.13,119.87,12.61,121.82,210.94,181.24,0,0,2
-17.99,-22.53,-18.61,-19.13,28.03,-5.12,34.32,-77.28,-93.83,9.54,121.93,12.25,124.8,213.46,183.91,0,0,2
-17.24,-19.54,-17.2,-17.78,25,-5.83,31.22,-79.52,-91.92,8.37,121.83,11.45,131.87,214.89,187.21,0,0,2
-19.14,-20.1,-19.57,-20.27,26.31,-7.1,33.96,-83.41,-92.28,15.11,125.3,11.29,136.9,216.83,190.18,0,0,2
-19.71,-19.96,-19.09,-19.84,26.43,-7.72,33.93,-83.69,-100,29.04,133.59,12.8,134.16,217.39,189.65,0,0,2
-19.03,-18.97,-18.82,-19.56,25.24,-7.55,32.81,-81.16,-106.01,34.08,137.79,13.07,133.09,214.43,187.32,0,0,2
-16.96,-17.71,-17.91,-18.53,23.22,-6.28,30.36,-80.31,-103.81,20.2,132.79,13.16,131.24,216.58,188.13,0,0,2
-17.72,-16.71,-16.47,-17.19,22.64,-7.51,29.4,-77.1,-101.81,17.16,128.86,12.71,133.89,223.27,193.48,0,0,2
-17.18,-16.95,-17.96,-18.63,22.63,-6.81,30.09,-67.09,-102.35,18.1,123.71,12.69,132.33,219.12,190.19,0,0,2
-18.58,-15.57,-16.76,-17.58,21.97,-8.76,29.47,-56.16,-104.73,10.62,119.31,13.2,126.11,204.93,178.66,0,0,2
-21.45,-13.19,-19.59,-20.73,21.02,-12.1,31.9,-57.33,-109.86,9,124.24,12.4,131.17,203.75,179.55,0,0,2
-20.65,-14.18,-20.48,-21.51,21.59,-10.88,32.36,-58.75,-107.54,1.95,122.55,11.15,125.7,188.4,167.5,0,0,2
-21.18,-15.75,-15.28,-16.31,23.23,-11.16,30.5,-54.13,-115.69,12.34,128.32,11.28,124.45,186.79,166.01,0,0,2
-20.76,-15.6,-15.88,-16.88,22.91,-10.79,30.44,-55.01,-118.45,14.16,131.37,11.22,127.53,184.98,165.83,0,0,2
-20.44,-12.58,-17.49,-18.57,20.04,-11.63,29.7,-60.9,-110.73,5.65,126.5,11.03,132.35,187.31,168.99,0,0,2
-21.17,-14.74,-13.95,-15.02,22.31,-11.69,29.33,-65.9,-101.72,1.16,121.21,11.28,135.26,198.06,177.12,0,0,2
-21.61,-12.1,-11.25,-12.47,20.1,-13.43,27.2,-70.44,-99.57,0.7,121.97,11.17,133.34,200.65,178.22,0,0,2
-21.09,-15.82,-8.38,-9.43,23.26,-11.65,27.67,-66.7,-95.16,-11,116.73,10.78,135.22,207.24,183.23,0,0,2
-20.73,-19.5,-5,-5.9,26.44,-10.07,28.9,-54.09,-84.62,-17.15,101.88,11.09,143.23,211.91,189.02,0,0,2
-22.71,-19.11,-10.08,-11.13,26.91,-11.58,31.34,-54.01,-83.5,-11.57,100.12,10.51,153.08,215.49,194.69,0,0,2
-17.16,-18.48,-6.59,-7.24,24,-7.13,26.07,-54.42,-81.72,-34.4,104.03,10.21,195.28,209.64,204.85,0,0,2
-17.62,-15.67,4.1,3.27,21.65,-9.67,23.94,-35.94,-80.11,-73.63,114.59,10.43,261.31,224.64,236.86,0,0,2
-11.41,-27.31,-2.24,-2.12,29.57,1.39,29.68,-15.33,-111.2,-32.4,116.83,7.95,269.97,319.38,302.91,0,0,2
-21.53,-23.13,6.43,5.56,30.06,-10.26,32.25,-38.19,-113.76,-26.71,122.93,7.23,275.76,341.07,319.3,0,0,2
6.95,-19.74,10.43,11.67,14.95,13.68,23.39,-37.43,-141.89,-33.61,150.54,8.92,229.46,366.22,320.64,0,0,2
-18.48,-22.83,10.62,9.96,28.5,-7.99,31.23,-44.52,-158.24,-43.72,170.09,8.57,255.44,363.05,327.18,0,0,2
-16.12,-25.63,8.63,8.27,30.04,-4.51,31.49,-51.93,-159.84,-45.51,174.11,6.77,308.78,347.41,334.53,0,0,2
-24.55,-24.48,6.88,5.82,32.56,-12.46,35.35,-40.31,-169.57,-33.16,177.42,6.28,317.36,355.59,342.85,0,0,2
-21.3,-26.19,10.89,10.14,32.74,-9.15,35.47,-41,-180.3,-15.89,185.59,5.83,392.59,371.98,378.85,0,0,2
-23.49,-31.59,9.66,8.94,38.56,-8.75,40.54,-43.29,-171.45,-6.68,176.96,4.68,494.48,417.72,443.31,0,0,2
3.37,2.11,39.62,39.66,-2.72,-2.19,39.82,52.57,23.62,-24.07,62.46,2.66,67.98,86.27,80.17,0,1,2
3.49,2.25,39.71,39.76,-2.88,-2.11,39.92,48.36,32.14,-23.72,62.72,2.39,68,90.27,82.84,0,1,2
3.57,2,39.6,39.68,-2.65,-1.97,39.81,44.92,38.93,-23.04,63.75,2.26,67.6,92.37,84.11,0,1,2
3.71,1.92,39.35,39.44,-2.6,-1.79,39.57,43.99,39.35,-21.67,62.87,2.46,66.84,91.36,83.19,0,1,2
3.77,2.29,39.07,39.17,-2.97,-1.77,39.32,43.01,36.12,-21.96,60.3,2.26,70.99,105.82,94.21,0,1,2
3.67,2.53,38.99,39.07,-3.19,-1.9,39.25,42.78,33.33,-21.87,58.48,2.14,72.59,108.01,96.2,0,1,2
3.45,2.74,38.74,38.78,-3.35,-2.12,38.99,40.18,35,-20.94,57.25,2.27,66.06,97.03,86.71,0,1,2
3.15,2.92,38.67,38.67,-3.47,-2.43,38.91,34.41,41.49,-20.04,57.51,2.53,64.97,81.83,76.21,0,1,2
3.05,2.82,38.73,38.72,-3.35,-2.53,38.95,30.09,48.65,-19.45,60.42,2.82,81.01,65.61,70.74,0,1,2
3.13,2.64,38.71,38.72,-3.19,-2.41,38.93,30.08,51.58,-17.2,62.14,3.31,53.25,68.56,63.46,0,1,2
3.58,2.2,38.68,38.76,-2.85,-1.89,38.91,30.51,53.9,-17.61,64.39,3.09,50.46,72.26,64.99,0,1,2
5.1,0.45,38.26,38.57,-1.41,-0.02,38.6,30.52,52.41,-18.27,63.34,2.5,63.59,86.09,78.59,0,1,2
4.4,1.2,38.16,38.37,-2.02,-0.83,38.43,33.68,40.87,-24.01,58.15,1.66,107.97,146.87,133.9,0,1,2
