,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
11.14,-16.93,21.77,22.08,19.8,-2.3,29.74,-50.21,17.29,37.62,65.08,0.09,2903.32,2559.64,2674.2,0,0,4
10.92,-16.51,21.56,21.85,19.34,-2.18,29.27,-47.76,35.72,46.91,75.87,0.09,3023.82,2722.76,2823.11,0,0,4
10.52,-16.39,21.31,21.62,18.98,-2.4,28.87,-36.98,17.36,45.03,60.8,0.09,2994.27,2647.19,2762.88,0,0,4
10.21,-16.32,21.16,21.49,18.71,-2.58,28.61,-37.7,10.5,51.66,64.81,0.08,2754.4,2778.47,2770.45,0,0,4
10.04,-16.36,20.89,21.23,18.61,-2.75,28.37,-14.41,14.11,60.58,63.85,0.09,2509.81,2840.06,2729.98,0,0,0
9.85,-16.3,20.62,20.97,18.44,-2.86,28.07,-8.95,-2.45,55.61,56.37,0.09,2629.37,2745.67,2706.9,0,0,0
9.66,-16.39,20.5,20.88,18.36,-3.07,27.97,-23.79,-27.12,37.78,52.23,0.08,2854.38,2644.33,2714.34,0,0,0
9.41,-16.43,20.52,20.91,18.21,-3.27,27.92,24.77,-0.61,32.3,40.71,0.09,2437.96,2636.74,2570.48,0,0,0
9.25,-16.57,20.46,20.87,18.2,-3.49,27.91,14.09,11.34,49.76,52.94,0.09,2613.17,2514.94,2547.68,0,0,0
9.25,-16.77,20.43,20.85,18.33,-3.63,28,-16.64,-2.25,30.92,35.19,0.09,2926.8,2511.64,2650.02,0,0,0
9.22,-16.73,20.48,20.9,18.29,-3.62,28,-26.14,-11.4,25.47,38.24,0.08,3134.3,2724.34,2861,0,0,0
9.1,-16.59,20.47,20.89,18.1,-3.6,27.88,-8.32,4.05,41.32,42.34,0.08,3252.31,2945.23,3047.59,0,0,0
9.02,-16.64,20.52,20.94,18.08,-3.69,27.91,13.15,20.6,40.19,47.04,0.07,3333.51,3013,3119.83,0,0,0
8.93,-16.68,20.63,21.07,18.04,-3.77,27.99,11.85,-1.91,3.66,12.55,0.07,3218.78,3028.12,3091.68,0,0,0
8.97,-16.85,20.87,21.32,18.19,-3.85,28.29,-23.94,12.22,16.21,31.39,0.09,2486,2780.32,2682.21,0,0,0
